AATS1d,AATS2i,ATSC3c,ATSC4c,ATSC5c,ATSC3dv,ATSC3s,ATSC2m,ATSC3m,ATSC2v,ATSC4v,ATSC2are,ATSC3are,ATSC4are,ATSC2p,ATSC3p,ATSC3i,AATSC0s,AATSC0v,AATSC2i,MATS1c,MATS2d,MATS2i,GATS1c,GATS2c,GATS2s,GATS1m,GATS2m,GATS1are,GATS2are,GATS1i,GATS2i,BCUTc-1h,BCUTc-1l,BCUTare-1l,RNCG,RPCG,Xpc-4dv,AETA_eta,AETA_eta_FL,CIC2,MIC5,ZMIC5,FilterItLogS,SlogP_VSA2,VSA_EState1,bpol,SLogP,Endpoint,Cell,Canonical SMILES,actual
4.25,151.5163496,0.182614154,-0.183415612,0.085171102,-17.6622085,-0.01638999,49.60084853,-136.1653537,-128.7944805,-61.86777517,0.130611806,0.133588194,-0.851949306,-1.191584686,0.068012199,-2.366134332,1.76513891,42.93570434,-0.411406905,-0.610399148,-0.251336898,-0.290198368,1.445867838,0.753127497,0.721345798,0.502772314,0.594690746,1.028688668,0.666917266,1.178929381,1.343131452,0.411084578,-0.341504938,2.223680351,0.573339462,0.333127982,0.490309495,0.433371845,0.294119157,0.166666667,48.99179879,24.49724375,-2.369853468,10.09050592,0,5.169621,2.094,0,1,C1=C(C=NC(=C1O)Br)Cl,2.677181379
3.833333333,152.4734933,0.213749625,-0.119954874,-0.018908472,-15.11076818,-0.215867331,32.70609081,244.0695427,-137.0061075,-169.8882936,-0.090719444,0.510319444,-0.747430556,-0.961878381,-0.144848832,-3.577136147,1.803481007,47.211944,-0.362021803,-0.552053178,-0.329411765,-0.243480617,1.374166364,0.840829048,0.741748377,0.513814934,0.60730667,0.972296963,0.759136612,1.189625934,1.298286627,0.405214832,-0.353620869,2.225833368,0.587426083,0.341311867,0.3424075,0.366520211,0.311452546,0.166666667,38.70146268,19.71729375,-1.573631706,10.09050592,0,5.662828,1.4406,0,1,C1=CC(=C(N=C1)Br)O,2.206593808
4.75,145.6507063,0.189421986,-0.160235574,0.064092418,-23.39917695,0.143148791,-1675.311756,-6247.965854,-75.30614443,19.72384061,-0.068038194,0.223188194,-0.608074306,-1.58879072,-4.184741652,0.757796176,1.830005787,47.60350084,-0.443374144,-0.572378653,-0.208924949,-0.328569131,1.412627944,0.81643902,0.762284376,0.583323154,0.798271068,1.146906456,0.756861406,0.94483214,1.29827586,0.414087497,-0.35153705,2.216468181,0.596643873,0.347096979,1.258420714,0.717819551,0.231918292,0,99.12092693,45.40952501,-3.827121248,10.09050592,1.707453704,7.286414,3.0747,0,1,C1=CC(=NC(=C1O)Cl)Cl,2.729204747
4.25,149.8871027,0.149197079,-0.037976081,-0.051616978,-13.24767566,-2.95082798,-167.8304303,-869.3618227,-46.91001858,-107.9156039,-0.257744444,0.181144444,-0.060055556,-0.561913344,-1.994821408,-3.173261166,1.800590069,48.42006085,-0.386146396,-0.53172326,-0.315508021,-0.266597725,1.350241342,0.833756766,0.738135613,0.498216923,0.668785632,1.034463141,0.822260452,1.085113546,1.281248534,0.407462689,-0.355618394,2.221006948,0.589981932,0.342553544,0.718666384,0.498004314,0.275712462,0,62.27139613,29.87468751,-2.621646507,10.09050592,0.409166667,6.039621,2.2031,0,1,C1=CC(=C(N=C1)Cl)O,2
4.333333333,143.606308,0.00574893,-0.137835742,0.082794059,-29.7037037,-22.4249257,-0.105868167,-175.4748748,-125.499433,-51.70583224,-0.085204167,-0.96241875,-0.919816667,-0.747520219,-0.699381243,-3.83236511,4.281676023,41.39806399,-0.4179628,-0.376190841,-0.313131313,-0.32595997,1.0773986,0.756715507,0.643448376,0.458436116,0.611248155,0.493698565,0.658264753,0.906528292,1.208704389,0.41278133,-0.380368559,2.216002543,0.427634123,0.290516008,0.451299231,0.504629127,0.251279339,0.729573959,42.58367832,21.509775,-1.198560464,11.56648989,0,5.255621,0.8171,1,2,C1=CC(=O)C(=CC1=O)Cl,6.09
3.666666667,148.3576687,0.045763141,-0.155241444,0.066310388,-41.54666667,-13.64314366,130.0845693,-239.2741347,93.84551152,-267.8711875,0.280933333,-0.839866667,-1.459733333,-0.14058385,-2.090266973,-11.99549523,3.715555556,48.61777747,-0.072250778,-0.457343502,-0.231770833,-0.052876614,1.088730413,0.736561437,0.571006114,0.663081397,0.630331834,0.46715712,0.552909879,0.885042526,1.016592429,0.394271116,-0.391696969,2.210693677,0.449955594,0.281359253,0.41469903,0.51523235,0.18616143,0.900651667,29.57606395,17.28117861,-0.948140679,9.113455922,0,7.755242,0.6407,1,2,CC1=CC(=O)C=CC1=O,6
4.833333333,139.9298539,-0.001691484,-0.136173192,0.090067565,-28.38683128,-23.48206019,-617.6884807,-3819.896881,-37.15690504,-220.5734747,-0.147266667,-0.9267,-0.853066667,-0.040214053,-3.603927206,-4.443228284,4.356379077,42.95506328,-0.255149323,-0.33390284,-0.333333333,-0.227150314,1.057205982,0.797452769,0.652210738,0.526903198,0.702537597,0.525808064,0.701077419,0.770665015,1.027553353,0.417171932,-0.379290218,2.211251662,0.43072264,0.289005513,1.200677187,0.852209855,0.16562578,1,57.27587578,53.42255835,-2.532926656,11.56648989,0.612407407,6.502414,1.6958,1,2,C1=C(C(=O)C=C(C1=O)Br)Br,5.33
3,160.8802417,0.006467196,0.000216039,0,-38.02469136,-21.78757191,-948.2631763,-2.967073647,-204.8200716,90.14930763,-0.20174,-0.740928,0.166464,-1.934472767,0.064815795,-2.463635716,3.019777473,55.57286516,-0.256461154,-0.158936001,-0.454545455,-0.247070517,0.890391911,1.145653884,0.625494631,0.501473342,1.196777593,0.50679669,0.802767499,1.2022729,1.167831332,0.363082595,-0.412756476,2.328334564,0.556730622,0.303227255,0.231455025,0.601289112,0.127351563,1.2,36.80935054,28.12752276,-1.829388932,15.71071063,0,5.900828,1.0331,0,0,C(C(=O)CCl)Cl,5.99
3,154.9638344,-0.003799448,8.70E-05,0,-41.75187929,-26.78273714,-4980.910772,-464.2748725,-312.1168553,61.86889688,-0.09176,-0.838272,0.197136,-4.015452911,-0.00872969,-0.569659955,3.087462277,71.39630055,-0.367338894,-0.195715275,-0.454545455,-0.316371835,1.120598535,1.133511072,0.612338166,0.552092181,1.180405786,0.502671464,0.744520772,1.018863682,1.197266484,0.347424536,-0.46218137,2.325946385,0.638406017,0.328779213,0.400891863,1.005540492,-0.029660986,1.2,40.38507772,44.84540504,-2.349693948,12.34132628,0,7.640828,1.3453,0,0,C(C(=O)CBr)Br,5.82
2.333333333,159.5393242,-0.028190936,0.000855636,0,-37.44241427,-22.42511019,-950.4201929,1.427349974,-76.40625577,35.63314891,0.17986,-1.161408,0.231804,-1.395153635,-0.030629074,-1.959705824,3.092291667,63.36735295,-0.272256928,-0.294634821,-0.463414634,-0.229207756,1.109444635,0.675454483,0.56359027,0.502734029,1.020467919,0.502252072,0.617814024,1.151163135,1.139791416,0.330433043,-0.468677735,2.325599767,0.77033658,0.360147482,0.283473355,0.746287981,0.049942508,0.67548875,48.70289409,22.75580165,-1.442494023,11.62579148,0,7.264035,0.9703,0,0,CC(=O)CBr,5.71
2.333333333,162.4975279,-0.017457302,-0.001386745,0,-35.91950617,-23.65199946,-192.3542615,-170.5799731,-45.86180577,94.44097516,0.140665,-1.104312,0.185931,-0.86314559,-0.265046746,-3.129655752,3.056793553,53.91537246,-0.244688314,-0.269354258,-0.463414634,-0.222767611,0.880573484,0.975679929,0.569854414,0.534768844,0.975511623,0.500928657,0.646403301,1.222804411,1.151583091,0.340341603,-0.485791427,2.326836338,0.708812947,0.341797248,0.163663418,0.536155441,0.135895257,0.67548875,22.86898527,16.77633108,-1.143723242,8.749489715,0,6.394035,0.8142,0,0,CC(=O)CCl,5.36
3.666666667,159.2894839,0.02981583,0.001747621,0,-40.99111111,-14.59502688,-565.4435636,-56.91172719,-164.4656051,-33.72999929,-0.266315,-0.441048,-0.019701,-1.402943146,0.028311068,-1.861283687,2.987593736,51.53570837,-0.249664159,-0.164942596,-0.333333333,-0.257477127,1.116978948,1.299144599,0.647771783,0.545923827,1.09679682,0.54019582,0.849379859,1.260639826,1.171199311,0.395596565,-0.403378646,2.322363294,0.486577122,0.296331437,0.697441566,0.72008919,0.131685876,0.4,52.15597587,31.3343659,-2.119243187,13.08944989,0,5.407621,1.598,0,0,C(C(=O)C(Cl)Cl)Cl,5.18
3.666666667,159.3425405,0.06245973,-0.021117964,0,-44.10222222,-20.56852023,1772.023092,-53.51984448,404.9993444,-603.1949488,0.527485,-0.441048,-0.813501,3.176647703,0.028311068,-1.861283687,2.984854538,51.53570837,-0.196607487,-0.358043868,-0.333333333,-0.202760104,1.442746843,1.054332101,0.605732358,0.545923827,0.330124003,0.54019582,0.527109595,1.583275945,1.121953991,0.406709418,-0.380437668,2.313672467,0.565457561,0.474832542,1.705136246,0.828686168,0.14064988,0.9509775,36.28410702,36.77585567,-2.101783187,9.575780882,-1.722222222,5.407621,1.9456,0,0,CC(=O)C(Cl)(Cl)Cl,3.65
5.666666667,154.570267,0.016747838,0.050710834,0,-48.83555556,-15.27605624,216.667147,-1343.094453,13.54428934,16.03614255,-0.38066,0.077568,0.009216,0.6496048,-2.27940672,-0.436235637,2.874727938,5.256341018,-0.223967506,-0.233551757,-0.025641026,-0.312433766,1.530714545,1.162058781,0.696516678,1.356721534,0.817941622,1.080145291,1.04005958,1.607651896,1.197233989,0.453075548,-0.368234516,2.305768317,0.39166268,0.341435074,2.09880424,1.09690864,0.117248233,1.7509775,30.55904099,55.32562112,-3.624314516,13.36831682,-4.350694444,3.928,3.2959,0,0,C(=O)(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,2.49
